,Ticker,currency,start_date
2827.HK,2827.HK,HKD,2007-12-31 00:00:00
ACWI,ACWI,USD,2008-03-28 00:00:00
AGG,AGG,USD,2003-09-29 00:00:00
ASHR,ASHR,USD,2013-11-06 00:00:00
BBC,BBC,USD,2014-12-17 00:00:00
BKLN,BKLN,USD,2011-03-03 00:00:00
BLV,BLV,USD,2007-04-10 00:00:00
BNO,BNO,USD,2010-06-02 00:00:00
BOND,BOND,USD,2012-03-01 00:00:00
DBA,DBA,USD,2007-01-05 00:00:00
DVY,DVY,USD,2003-11-07 00:00:00
EMB,EMB,USD,2007-12-19 00:00:00
EUSC,EUSC,USD,2015-03-04 00:00:00
GLD,GLD,USD,2004-11-18 00:00:00
GSG,GSG,USD,2006-07-21 00:00:00
GSLC,GSLC,USD,2015-09-21 00:00:00
H50E.L,H50E.L,GBp,2009-10-09 00:00:00
HEDJ,HEDJ,USD,2010-01-15 00:00:00
HYD,HYD,USD,2009-02-05 00:00:00
HYG,HYG,USD,2007-04-11 00:00:00
IDV,IDV,USD,2007-06-21 00:00:00
IEF,IEF,USD,2002-07-30 00:00:00
IJT,IJT,USD,2000-07-28 00:00:00
ILTB,ILTB,USD,2009-12-09 00:00:00
ISF.L,ISF.L,GBp,2001-01-02 00:00:00
ITOT,ITOT,USD,2004-01-23 00:00:00
IUKD.L,IUKD.L,GBp,2005-11-07 00:00:00
IUSA.L,IUSA.L,GBp,2002-03-19 00:00:00
IWF,IWF,USD,2000-05-26 00:00:00
JNK,JNK,USD,2007-12-04 00:00:00
KRE,KRE,USD,2006-06-22 00:00:00
LEMB,LEMB,USD,2011-10-20 00:00:00
LQD,LQD,USD,2002-07-30 00:00:00
MDY,MDY,USD,1995-08-18 00:00:00
MIDD.L,MIDD.L,GBp,2004-03-29 00:00:00
MUB,MUB,USD,2007-09-10 00:00:00
NOBL,NOBL,USD,2013-10-10 00:00:00
NYF,NYF,USD,2007-10-11 00:00:00
PCY,PCY,USD,2007-10-11 00:00:00
PEK,PEK,USD,2010-10-14 00:00:00
PEY,PEY,USD,2004-12-09 00:00:00
PFF,PFF,USD,2007-03-30 00:00:00
PID,PID,USD,2005-09-15 00:00:00
PPLT,PPLT,USD,2010-01-08 00:00:00
QQQ,QQQ,USD,1999-03-10 00:00:00
S600.L,S600.L,GBp,2014-07-16 00:00:00
SCHA,SCHA,USD,2009-11-03 00:00:00
SCIF,SCIF,USD,2010-08-25 00:00:00
SDY,SDY,USD,2005-11-15 00:00:00
SHV,SHV,USD,2007-01-11 00:00:00
SJNK,SJNK,USD,2012-04-09 00:00:00
SLXX.L,SLXX.L,GBP,2004-03-29 00:00:00
SPY,SPY,USD,1993-01-29 00:00:00
TLT,TLT,USD,2002-07-30 00:00:00
UGA,UGA,USD,2008-02-28 00:00:00
USMV,USMV,USD,2011-10-20 00:00:00
USO,USO,USD,2006-04-10 00:00:00
VBR,VBR,USD,2004-01-30 00:00:00
VCLT,VCLT,USD,2009-11-23 00:00:00
VOE,VOE,USD,2006-08-25 00:00:00
VTIP,VTIP,USD,2012-10-16 00:00:00
VTV,VTV,USD,2004-01-30 00:00:00
VUSA.L,VUSA.L,GBP,2012-06-06 00:00:00
VV,VV,USD,2004-01-30 00:00:00
VWOB,VWOB,USD,2013-06-04 00:00:00
VXF,VXF,USD,2002-01-04 00:00:00
XBI,XBI,USD,2006-02-06 00:00:00
XRT,XRT,USD,2006-06-22 00:00:00
